Time	CellId	RNTI	BWPId	SINR(dB)
1.3715	1	2	0	27.2657
1.3715	3	2	0	24.7921
1.37193	1	1	0	21.4661
1.37193	3	1	0	18.4807
1.37271	1	2	0	25.8152
1.37271	3	2	0	26.2634
1.37293	1	1	0	21.7224
1.37293	3	1	0	28.3373
1.37371	1	2	0	25.1862
1.37371	3	2	0	22.689
1.37393	1	1	0	20.9551
1.37393	3	1	0	15.9504
1.3745	3	2	0	25.8579
1.37471	1	2	0	25.5726
1.37471	3	1	0	25.0285
1.37493	1	1	0	51.1926
1.37529	1	1	0	16.7879
1.3755	3	2	0	22.8653
1.37571	3	1	0	16.3074
1.37593	1	2	0	45.2497
1.3765	1	2	0	21.223
1.3765	3	1	0	22.8368
1.37693	1	1	0	19.3772
1.37693	3	2	0	20.2455
1.37729	1	1	0	19.632
1.37743	3	2	0	23.1007
1.37786	3	1	0	16.4166
1.37793	1	2	0	43.092
1.37829	1	1	0	18.4225
1.37829	3	1	0	20.1186
1.37893	1	2	0	30.9834
1.37893	3	2	0	23.7424
1.3795	1	2	0	33.3404
1.3795	3	2	0	26.1521
1.37993	1	1	0	20.4328
1.37993	3	1	0	17.9421
1.38029	3	1	0	23.1168
1.3805	1	2	0	28.4369
1.38093	3	2	0	23.5802
1.38093	1	1	0	20.6372
1.3815	1	1	0	19.9939
1.3815	3	2	0	20.9632
1.38193	1	2	0	26.0736
1.38193	3	1	0	18.7744
1.3825	1	2	0	19.5714
1.38257	3	2	0	25.9437
1.38293	1	1	0	19.8272
1.38293	3	1	0	22.2772
1.38357	1	2	0	31.3612
1.38364	3	2	0	23.4685
1.38393	1	1	0	19.1755
1.38393	3	1	0	16.1857
1.38464	1	2	0	29.5115
1.38471	3	2	0	24.5592
1.38493	1	1	0	20.7064
1.38493	3	1	0	21.2158
1.38564	3	2	0	26.3378
1.38571	1	2	0	34.2076
1.38593	3	1	0	19.1399
1.38593	1	1	0	21.0941
1.3865	3	2	0	25.7528
1.38664	1	2	0	28.1274
1.38671	3	1	0	24.6723
1.38686	1	1	0	47.8699
1.38771	1	2	0	23.6933
1.38771	3	2	0	24.2969
1.38793	1	1	0	23.6878
1.38793	3	1	0	19.7301
1.38836	3	1	0	23.3935
1.38871	1	2	0	28.1198
1.38893	3	2	0	25.6353
1.38893	1	1	0	23.9996
1.3895	3	2	0	23.3659
1.38964	1	2	0	28.7426
1.38993	3	1	0	18.3241
1.38993	1	1	0	23.5598
1.39029	1	1	0	25.0185
1.39064	3	2	0	22.8148
1.39093	1	2	0	29.1625
1.39093	3	1	0	20.622
1.3915	1	2	0	25.7438
1.39171	3	2	0	24.0876
1.39193	1	1	0	24.0305
1.39193	3	1	0	18.1412
1.39271	1	2	0	22.5188
1.39271	3	2	0	23.1369
1.39293	1	1	0	25.6735
1.39293	3	1	0	15.9093
1.39371	1	2	0	26.4464
1.39371	3	2	0	20.3329
1.39393	1	1	0	25.9075
1.39393	3	1	0	20.6458
1.39471	1	2	0	31.7966
1.39471	3	2	0	24.0102
1.39493	1	1	0	26.4263
1.39493	3	1	0	14.494
1.39571	1	2	0	25.6625
1.39571	3	2	0	21.3159
1.39593	1	1	0	22.9485
1.39593	3	1	0	24.5896
1.39629	3	1	0	29.1115
1.39671	1	2	0	24.2151
1.39693	3	2	0	22.8183
1.39693	1	1	0	23.5968
1.39771	1	2	0	25.4691
1.39771	3	2	0	23.7374
1.39793	1	1	0	24.4218
1.39793	3	1	0	36.2358
1.39829	3	1	0	17.6734
1.39871	1	2	0	29.8161
1.39893	3	2	0	25.0414
1.39893	1	1	0	33.3612
1.39929	3	1	0	17.3604
1.39971	1	2	0	30.1191
1.39993	3	2	0	24.4226
1.39993	1	1	0	30.1234
1.4005	3	2	0	13.9901
1.40071	1	2	0	26.3868
1.40093	3	1	0	18.1285
1.40093	1	1	0	24.0526
1.4015	3	2	0	11.5616
